age_group,decision_time_scale,t0_mean,t0_sd,score,condition_quantile_mae,condition_mean_mae,overall_quantile_mae,human_condition_gap,model_condition_gap,condition_gap_abs_error,caf_rmse,incongruent_caf_rmse,human_incongruent_error_minus_correct_rt,model_incongruent_error_minus_correct_rt,error_gap_abs_error
40-49,0.37,0.559,0.12,0.15327051769224806,0.01970949501612589,0.010004940978105503,0.019543228080625242,0.06726351403210296,0.0841606429137941,0.016897128881691148,0.02171174797200813,0.03474554832197509,-0.08152539216243793,-0.0671688936332685,0.014356498529169426
40-49,0.37,0.562,0.15,0.22174512226719909,0.04312524221457344,0.00808937953246297,0.04092667606953707,0.06726351403210296,0.0834422730970289,0.01617875906492594,0.022825424421026634,0.04170209926189358,-0.08152539216243793,-0.06815580049522263,0.013369591667215297
40-49,0.37,0.56,0.18,0.30359537175191337,0.07015715090087833,0.00937500339028352,0.06692466431331176,0.06726351403210296,0.08272390328026402,0.015460389248161066,0.022860446189871254,0.042879634751606506,-0.08152539216243793,-0.06914270735717687,0.012382684805261057
40-49,0.37,0.56,0.21,0.38721390484200247,0.09759123392468189,0.009556024221272885,0.09461147468909838,0.06726351403210296,0.08199751271329947,0.014733998681196514,0.023285188425262934,0.045797837066857784,-0.08152539216243793,-0.070129614219131,0.011395777943306928
40-49,0.37,0.565,0.24,0.46976362056024223,0.12669749379146464,0.00674877030562121,0.12411047231559606,0.06726351403210296,0.08076105464334538,0.01349754061124242,0.023643180835073756,0.04957382315854301,-0.08152539216243793,-0.07047106799625602,0.011054324166181906
50-59,0.37,0.609,0.0,0.3553849956922268,0.07679500161410449,0.013180213761614545,0.04713334172525977,0.06460245427369793,0.09096288179692702,0.02636042752322909,0.04600434762063256,0.06247594004964882,-0.08676449919114704,-0.0638795419050755,0.02288495728607154
50-59,0.37,0.606,0.03,0.28479626708242833,0.060445149884574764,0.012893800341435113,0.042165709153942056,0.06460245427369793,0.09039005495656816,0.025787600682870226,0.020717142660125715,0.03829574795843491,-0.08676449919114704,-0.06557620394379882,0.02118829524734822
50-59,0.37,0.6,0.06,0.201942409012437,0.036168722230977314,0.012607386921255626,0.027807456261916923,0.06460245427369793,0.08981722811620918,0.02521477384251125,0.016876018487783206,0.017123025619978655,-0.08676449919114704,-0.06727286598252258,0.01949163320862446
50-59,0.37,0.599,0.09,0.15281533740445108,0.018227919929334913,0.012320973501076193,0.01406370980960897,0.06460245427369793,0.08924440127585032,0.024641947002152387,0.01727425830535136,0.020378766379418958,-0.08676449919114704,-0.06896952802124612,0.01779497116990092
50-59,0.37,0.589,0.12,0.1616410362002008,0.018929286610608314,0.01203456008089665,0.020112656900335747,0.06460245427369793,0.08867157443549123,0.0240691201617933,0.016697305171793457,0.025452287632769906,-0.08676449919114704,-0.07066619005996955,0.01609830913117749
