analysis_group,row_index,user_id,congruency,target_label,flanker_label,committed_winner,model_correct,commitment_step,commitment_time_s,pred_rt_s,target_state_at_commitment,strongest_wrong_state_at_commitment,target_minus_wrong_at_commitment,first_meaningful_step,first_meaningful_leader,first_meaningful_leader_wrong,any_wrong_leader_before_commitment,wrong_state_peak_before_commitment,distance_wrong_peak_to_threshold,precommit_reversal_step,precommit_reversal_time_s,trajectory_class,postcommit_target_recovery,postcommit_target_recovery_step,postcommit_recovery_delay_s,early_target_minus_flanker_input,rt_outcome_class,target_state_peak_before_commitment,early_target_evidence,early_flanker_evidence
young_20_29,41458,3875,congruent,0,0,0,True,4,0.04,0.44390594717845083,0.12819448113441467,0.0854351595044136,0.04275932163000107,0,0,False,False,0.0967407301068306,0.0232592698931694,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12187277525663376,1.5968644618988037,1.5968644618988037
young_20_29,22803,5256,incongruent,0,2,0,True,37,0.37,0.9293874045585014,0.12364213168621063,0.08239221572875977,0.04124991595745087,0,2,True,True,0.1041160598397255,0.0158839401602745,22,0.22,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.27522507309913635,SLOW CORRECT,0.1211540549993515,0.3364713191986084,0.6116964221000671
young_20_29,12250,7862,incongruent,3,2,3,True,28,0.28,0.7010588619992223,0.12448728084564209,0.08554688841104507,0.038940392434597015,0,2,True,True,0.10163688659667969,0.018363113403320308,15,0.15,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.17452554404735565,FAST CORRECT,0.12215244770050049,0.3709027171134949,0.5454282760620117
young_20_29,150954,2918,incongruent,1,2,1,True,27,0.27,0.5985933562487831,0.12484752386808395,0.09521226584911346,0.02963525801897049,0,2,True,True,0.10304101556539536,0.01695898443460464,17,0.17,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.21335211396217346,FAST CORRECT,0.12221759557723999,0.3653329014778137,0.5786849856376648
young_20_29,3440,2553,congruent,1,1,1,True,3,0.03,0.4670862871815992,0.13640767335891724,0.08614002168178558,0.05026765167713165,0,1,False,False,0.096229188144207,0.023770811855792995,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12627342343330383,2.0776875019073486,2.0776875019073486
young_20_29,70536,3875,congruent,3,3,3,True,7,0.07,0.3719707001786726,0.1261485368013382,0.07945893704891205,0.04668959975242615,0,3,False,False,0.09675584733486176,0.02324415266513824,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12262261658906937,1.1995784044265747,1.1995784044265747
young_20_29,20932,899,incongruent,3,0,3,True,32,0.32,0.8518757649567392,0.12334351241588593,0.0792103186249733,0.04413319379091263,0,0,True,True,0.10224547982215881,0.017754520177841182,17,0.17,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.31705811619758606,FAST CORRECT,0.12091994285583496,0.21973581612110138,0.5367938876152039
young_20_29,100902,5675,congruent,0,0,0,True,4,0.04,0.5845289086714411,0.12834520637989044,0.08548430353403091,0.04286090284585953,0,0,False,False,0.09675636887550354,0.023243631124496456,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12180772423744202,1.593670129776001,1.593670129776001
young_20_29,10184,677,congruent,2,2,2,True,3,0.03,0.3761258791212492,0.1277376413345337,0.08530253916978836,0.04243510216474533,0,2,False,False,0.09600282460451126,0.023997175395488735,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12018606811761856,1.7998433113098145,1.7998433113098145
young_20_29,55203,5675,incongruent,1,0,1,True,28,0.28,0.5357087315119251,0.1246776431798935,0.08182821422815323,0.042849428951740265,0,0,True,True,0.10316324234008789,0.016836757659912105,14,0.14,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.16746167838573456,FAST CORRECT,0.12215497344732285,0.4055255055427551,0.5729871988296509
