source,seed_id,analysis_group,user_id,congruency,rt_bin,n_trials,mean_rt,median_rt,error_rate,scheme
model,5,young_20_29,4398,1,4,26,1.0767753858281142,1.0741555215811922,0.0,raw
model,5,young_20_29,4398,0,1,27,0.4282223070519913,0.448099342132768,0.0,raw
model,5,young_20_29,4398,0,2,27,0.548589098477847,0.553452221280815,0.037037037037037035,raw
model,5,young_20_29,4398,0,3,26,0.6260643304378578,0.6243453088825426,0.0,raw
model,5,young_20_29,4398,0,4,26,0.7320704822432422,0.7258452908401842,0.0,raw
model,5,young_20_29,2553,0,1,27,0.42789394422162474,0.4395786526439158,0.0,raw
model,5,young_20_29,2553,0,2,26,0.5496272325585188,0.5563613319541045,0.038461538461538464,raw
model,5,young_20_29,2553,0,3,26,0.6169577040161918,0.6170169903405429,0.038461538461538464,raw
model,5,young_20_29,2553,0,4,26,0.7231892309816298,0.7013431768980626,0.038461538461538464,raw
model,5,older_80_89,6609,0,1,171,0.5044238283104132,0.5342678140477309,0.029239766081871343,raw
model,5,older_80_89,6609,0,2,171,0.7245406374112122,0.7269790486250685,0.005847953216374269,raw
model,5,older_80_89,6609,0,3,171,0.8835883487248303,0.8783235762864495,0.011695906432748537,raw
model,5,older_80_89,6609,0,4,171,1.1487274763712647,1.0950464410851315,0.0,raw
model,5,older_80_89,984,0,1,172,0.4897104186882506,0.509622359602875,0.011627906976744186,raw
model,5,older_80_89,984,0,2,172,0.7180901571493611,0.7199548574489528,0.005813953488372093,raw
model,5,older_80_89,984,0,3,172,0.8702456486650787,0.8688627364141699,0.005813953488372093,raw
model,5,older_80_89,984,0,4,172,1.1300216346694592,1.092883864295095,0.011627906976744186,raw
model,5,older_80_89,6609,1,1,172,0.778883158865063,0.8107103695252769,0.13372093023255813,raw
model,5,older_80_89,6609,1,2,171,1.021220157250531,1.0193809424067186,0.07017543859649122,raw
model,5,older_80_89,6609,1,3,171,1.2002288194025958,1.19564510838957,0.05263157894736842,raw
model,5,older_80_89,6609,1,4,171,1.496908460288452,1.4481942579174882,0.03508771929824561,raw
model,5,older_80_89,2410,0,1,157,0.5221151985946808,0.54359250968283,0.006369426751592357,raw
model,5,older_80_89,2410,0,2,157,0.7379112022059466,0.739964896958442,0.01910828025477707,raw
model,5,older_80_89,2410,0,3,157,0.8979276167599122,0.8951369831394497,0.006369426751592357,raw
model,5,older_80_89,2410,0,4,156,1.142646458024057,1.102420211029655,0.02564102564102564,raw
model,5,older_80_89,984,1,1,170,0.7742806158063394,0.8038500869479148,0.11764705882352941,raw
model,5,older_80_89,984,1,2,170,1.027323956841941,1.0298899535024497,0.058823529411764705,raw
model,5,older_80_89,984,1,3,170,1.2118561589861816,1.2163823720825877,0.023529411764705882,raw
model,5,older_80_89,984,1,4,170,1.4773340139679787,1.4173590852424,0.011764705882352941,raw
model,5,older_80_89,3403,0,1,128,0.5316192833217515,0.5523735696582611,0.0078125,raw
model,5,older_80_89,3403,0,2,128,0.7589864718184316,0.7647398503331545,0.0078125,raw
model,5,older_80_89,3403,0,3,127,0.9097395977529681,0.9091828930330432,0.007874015748031496,raw
