candidate_id,scheme,seed_id,analysis_group,congruency,accuracy,n_human,n_model,human_median_rt,model_median_rt,wasserstein_s
current_evidence__saved_gate_execution,presentation_floor_60hz,3,older_80_89,1,correct,2394,2331,0.9333333333333333,1.1166666666666667,0.17282696230064665
current_evidence__saved_gate_execution,presentation_floor_60hz,3,older_80_89,1,error,97,160,0.75,0.95,0.17346971649484533
current_evidence__saved_gate_execution,presentation_floor_60hz,4,young_20_29,0,all,2502,2502,0.55,0.5833333333333334,0.03567812416733281
current_evidence__saved_gate_execution,presentation_floor_60hz,4,young_20_29,0,correct,2457,2463,0.55,0.5833333333333334,0.035362064290200695
current_evidence__saved_gate_execution,presentation_floor_60hz,4,young_20_29,0,error,45,39,0.5333333333333333,0.6166666666666667,0.08339031339031339
current_evidence__saved_gate_execution,presentation_floor_60hz,4,young_20_29,1,all,2498,2498,0.6,0.8166666666666667,0.20812650120096074
current_evidence__saved_gate_execution,presentation_floor_60hz,4,young_20_29,1,correct,2290,2163,0.6,0.85,0.22642581567328252
current_evidence__saved_gate_execution,presentation_floor_60hz,4,young_20_29,1,error,208,335,0.55,0.6666666666666666,0.11895450631458095
current_evidence__saved_gate_execution,presentation_floor_60hz,4,older_80_89,0,all,2509,2509,0.8166666666666667,0.8,0.07795270360037204
current_evidence__saved_gate_execution,presentation_floor_60hz,4,older_80_89,0,correct,2484,2484,0.8166666666666667,0.8,0.08150161030595818
current_evidence__saved_gate_execution,presentation_floor_60hz,4,older_80_89,0,error,25,25,0.6833333333333333,0.9,0.2800000000000001
current_evidence__saved_gate_execution,presentation_floor_60hz,4,older_80_89,1,all,2491,2491,0.9166666666666666,1.1166666666666667,0.16726214371738263
current_evidence__saved_gate_execution,presentation_floor_60hz,4,older_80_89,1,correct,2394,2349,0.9333333333333333,1.1166666666666667,0.1699347346655273
current_evidence__saved_gate_execution,presentation_floor_60hz,4,older_80_89,1,error,97,142,0.75,0.9166666666666666,0.17996950776825904
current_evidence__saved_gate_execution,presentation_floor_60hz,5,young_20_29,0,all,2502,2502,0.55,0.5833333333333334,0.0372501998401279
current_evidence__saved_gate_execution,presentation_floor_60hz,5,young_20_29,0,correct,2457,2456,0.55,0.5833333333333334,0.03753922516137499
current_evidence__saved_gate_execution,presentation_floor_60hz,5,young_20_29,0,error,45,46,0.5333333333333333,0.5583333333333333,0.03656199677938809
current_evidence__saved_gate_execution,presentation_floor_60hz,5,young_20_29,1,all,2498,2498,0.6,0.8166666666666667,0.2081265012009607
current_evidence__saved_gate_execution,presentation_floor_60hz,5,young_20_29,1,correct,2290,2157,0.6,0.8333333333333334,0.2252692260194796
current_evidence__saved_gate_execution,presentation_floor_60hz,5,young_20_29,1,error,208,341,0.55,0.6666666666666666,0.12859449018723212
current_evidence__saved_gate_execution,presentation_floor_60hz,5,older_80_89,0,all,2509,2509,0.8166666666666667,0.8,0.07891590275009971
current_evidence__saved_gate_execution,presentation_floor_60hz,5,older_80_89,0,correct,2484,2483,0.8166666666666667,0.8,0.081497248925544
current_evidence__saved_gate_execution,presentation_floor_60hz,5,older_80_89,0,error,25,26,0.6833333333333333,0.7583333333333333,0.18030769230769234
current_evidence__saved_gate_execution,presentation_floor_60hz,5,older_80_89,1,all,2491,2491,0.9166666666666666,1.1166666666666667,0.16656630536598424
current_evidence__saved_gate_execution,presentation_floor_60hz,5,older_80_89,1,correct,2394,2331,0.9333333333333333,1.1166666666666667,0.1703338677022889
current_evidence__saved_gate_execution,presentation_floor_60hz,5,older_80_89,1,error,97,160,0.75,0.9333333333333333,0.18278135738831616
current_evidence__saved_gate_execution,presentation_floor_60hz,6,young_20_29,0,all,2502,2502,0.55,0.5833333333333334,0.03765654143351986
current_evidence__saved_gate_execution,presentation_floor_60hz,6,young_20_29,0,correct,2457,2453,0.55,0.5833333333333334,0.037637355724052274
current_evidence__saved_gate_execution,presentation_floor_60hz,6,young_20_29,0,error,45,49,0.5333333333333333,0.6,0.04142857142857144
current_evidence__saved_gate_execution,presentation_floor_60hz,6,young_20_29,1,all,2498,2498,0.6,0.8166666666666667,0.2099946623965839
current_evidence__saved_gate_execution,presentation_floor_60hz,6,young_20_29,1,correct,2290,2163,0.6,0.85,0.22884445359664762
current_evidence__saved_gate_execution,presentation_floor_60hz,6,young_20_29,1,error,208,335,0.55,0.65,0.11594694795254497
current_evidence__saved_gate_execution,presentation_floor_60hz,6,older_80_89,0,all,2509,2509,0.8166666666666667,0.8,0.0791816128603694
current_evidence__saved_gate_execution,presentation_floor_60hz,6,older_80_89,0,correct,2484,2491,0.8166666666666667,0.8,0.08220111725884688
current_evidence__saved_gate_execution,presentation_floor_60hz,6,older_80_89,0,error,25,18,0.6833333333333333,0.7916666666666667,0.2231851851851852
current_evidence__saved_gate_execution,presentation_floor_60hz,6,older_80_89,1,all,2491,2491,0.9166666666666666,1.1166666666666667,0.16903519336277267
current_evidence__saved_gate_execution,presentation_floor_60hz,6,older_80_89,1,correct,2394,2339,0.9333333333333333,1.1166666666666667,0.17050554156042344
current_evidence__saved_gate_execution,presentation_floor_60hz,6,older_80_89,1,error,97,152,0.75,0.95,0.20656425212515828
current_evidence__saved_gate_execution,presentation_floor_60hz,7,young_20_29,0,all,2502,2502,0.55,0.5833333333333334,0.03808286703970158
current_evidence__saved_gate_execution,presentation_floor_60hz,7,young_20_29,0,correct,2457,2447,0.55,0.5833333333333334,0.03832449392318619
current_evidence__saved_gate_execution,presentation_floor_60hz,7,young_20_29,0,error,45,55,0.5333333333333333,0.5666666666666667,0.03683501683501684
current_evidence__saved_gate_execution,presentation_floor_60hz,7,young_20_29,1,all,2498,2498,0.6,0.8166666666666667,0.20987456631972243
current_evidence__saved_gate_execution,presentation_floor_60hz,7,young_20_29,1,correct,2290,2169,0.6,0.85,0.2267409903879128
current_evidence__saved_gate_execution,presentation_floor_60hz,7,young_20_29,1,error,208,329,0.55,0.6666666666666666,0.12407036669004753
current_evidence__saved_gate_execution,presentation_floor_60hz,7,older_80_89,0,all,2509,2509,0.8166666666666667,0.8,0.07780656303972372
current_evidence__saved_gate_execution,presentation_floor_60hz,7,older_80_89,0,correct,2484,2493,0.8166666666666667,0.8,0.08073187049342029
