null_model,simulation,transition,population_mean_risk_difference
participant_current_condition_only,82,C_to_I,0.006738544659586062
participant_current_condition_only,82,I_to_I,0.0019547910945006057
participant_current_condition_only,83,C_to_C,0.00013010986107344177
participant_current_condition_only,83,I_to_C,0.000498450579368596
participant_current_condition_only,83,C_to_I,0.007036176028274532
participant_current_condition_only,83,I_to_I,0.0028352922602633344
participant_current_condition_only,84,C_to_C,0.0010685844319698005
participant_current_condition_only,84,I_to_C,0.0004564283516982268
participant_current_condition_only,84,C_to_I,0.007147935971087492
participant_current_condition_only,84,I_to_I,0.0021029140695901028
participant_current_condition_only,85,C_to_C,0.0005830146314087627
participant_current_condition_only,85,I_to_C,0.002205386050407628
participant_current_condition_only,85,C_to_I,0.003479685035005226
participant_current_condition_only,85,I_to_I,0.0008416002923789756
participant_current_condition_only,86,C_to_C,0.0004809982652795048
participant_current_condition_only,86,I_to_C,0.0022973424390311573
participant_current_condition_only,86,C_to_I,0.0023503772935334114
participant_current_condition_only,86,I_to_I,0.002930947436472613
participant_current_condition_only,87,C_to_C,0.0009231182383949181
participant_current_condition_only,87,I_to_C,0.0013525919970816176
participant_current_condition_only,87,C_to_I,0.0038444860138456827
participant_current_condition_only,87,I_to_I,0.001263354622521981
participant_current_condition_only,88,C_to_C,0.00046831913775959456
participant_current_condition_only,88,I_to_C,0.000924975210625035
participant_current_condition_only,88,C_to_I,0.003146880438231351
participant_current_condition_only,88,I_to_I,0.0018237305044129803
participant_current_condition_only,89,C_to_C,0.0012037055039936654
participant_current_condition_only,89,I_to_C,0.0014535507388221032
participant_current_condition_only,89,C_to_I,0.00614630062317442
participant_current_condition_only,89,I_to_I,0.0015692970387503292
participant_current_condition_only,90,C_to_C,0.0021061802598453328
participant_current_condition_only,90,I_to_C,0.0002455532718117144
participant_current_condition_only,90,C_to_I,0.0036375363599324842
participant_current_condition_only,90,I_to_I,0.00028621880909961893
participant_current_condition_only,91,C_to_C,0.0013312105849831836
participant_current_condition_only,91,I_to_C,0.0009011835274657046
participant_current_condition_only,91,C_to_I,0.004045190327863743
participant_current_condition_only,91,I_to_I,0.0022444485787956503
participant_current_condition_only,92,C_to_C,7.940348681622672e-05
participant_current_condition_only,92,I_to_C,0.0006158307567748741
participant_current_condition_only,92,C_to_I,0.00327021643775777
participant_current_condition_only,92,I_to_I,0.003678368018375719
participant_current_condition_only,93,C_to_C,0.0019993527482483234
participant_current_condition_only,93,I_to_C,0.0010460054023582336
participant_current_condition_only,93,C_to_I,0.005188324363835735
participant_current_condition_only,93,I_to_I,0.00238384566477083
participant_current_condition_only,94,C_to_C,0.0014626681556036344
participant_current_condition_only,94,I_to_C,0.0012855986767493924
participant_current_condition_only,94,C_to_I,0.0014791759053640829
participant_current_condition_only,94,I_to_I,0.0015659640222795172
participant_current_condition_only,95,C_to_C,0.002100448683015982
participant_current_condition_only,95,I_to_C,0.0018128771315069454
participant_current_condition_only,95,C_to_I,0.002611358534017313
participant_current_condition_only,95,I_to_I,0.002908584324438359
participant_current_condition_only,96,C_to_C,-0.0005473336728359703
participant_current_condition_only,96,I_to_C,0.001728250600860862
participant_current_condition_only,96,C_to_I,0.002646266232151759
participant_current_condition_only,96,I_to_I,0.0011938682799190576
participant_current_condition_only,97,C_to_C,0.002085001640121306
