analysis_group,replicate,time,target_state,flanker_state,noise_ampa
young_20_29,4,0.25,0.13355812,0.09835405,0.003
young_20_29,4,0.26,0.13645053,0.09811102,0.003
young_20_29,4,0.27,0.14043447,0.09674047,0.003
young_20_29,4,0.28,0.14304182,0.09579089,0.003
young_20_29,4,0.29,0.14587402,0.093637556,0.003
young_20_29,4,0.3,0.14738385,0.09228174,0.003
young_20_29,4,0.31,0.14941162,0.09080244,0.003
young_20_29,4,0.32,0.15161996,0.08954202,0.003
young_20_29,4,0.33,0.15334328,0.08797655,0.003
young_20_29,4,0.34,0.15507136,0.086349286,0.003
young_20_29,4,0.35000000000000003,0.15752241,0.08450415,0.003
young_20_29,4,0.36,0.15998702,0.08329813,0.003
young_20_29,4,0.37,0.16309828,0.08197718,0.003
young_20_29,4,0.38,0.1673248,0.08153546,0.003
young_20_29,4,0.39,0.17102364,0.08074067,0.003
young_20_29,4,0.4,0.17593823,0.07902944,0.003
young_20_29,4,0.41000000000000003,0.18015537,0.07796727,0.003
young_20_29,4,0.42,0.18492526,0.07664897,0.003
young_20_29,4,0.43,0.18928218,0.07627418,0.003
young_20_29,4,0.44,0.1934249,0.074369855,0.003
young_20_29,4,0.45,0.19640411,0.0727881,0.003
young_20_29,4,0.46,0.20333466,0.07199606,0.003
young_20_29,4,0.47000000000000003,0.20851678,0.07076653,0.003
young_20_29,4,0.48,0.21310408,0.06942682,0.003
young_20_29,4,0.49,0.21832125,0.069758005,0.003
young_20_29,4,0.5,0.22450358,0.068673275,0.003
young_20_29,4,0.51,0.23049602,0.06732823,0.003
young_20_29,4,0.52,0.23661187,0.065895066,0.003
young_20_29,4,0.53,0.24265158,0.06455075,0.003
young_20_29,4,0.54,0.25038376,0.06341254,0.003
young_20_29,4,0.55,0.2594805,0.062252905,0.003
young_20_29,4,0.56,0.26476553,0.061226994,0.003
young_20_29,4,0.5700000000000001,0.27400216,0.059246585,0.003
young_20_29,4,0.58,0.28496113,0.058889505,0.003
young_20_29,4,0.59,0.2954997,0.058029603,0.003
young_20_29,4,0.6,0.30295742,0.05664964,0.003
young_20_29,4,0.61,0.31495023,0.05534234,0.003
young_20_29,4,0.62,0.32567275,0.054386538,0.003
young_20_29,4,0.63,0.33961874,0.053031016,0.003
young_20_29,4,0.64,0.3503802,0.05206982,0.003
young_20_29,4,0.65,0.3637354,0.05106258,0.003
young_20_29,4,0.66,0.3776553,0.04979719,0.003
young_20_29,4,0.67,0.39008927,0.048544306,0.003
young_20_29,4,0.68,0.40464336,0.047163054,0.003
young_20_29,4,0.6900000000000001,0.41933617,0.045883816,0.003
